t	pose_x	pose_y	pose_theta	linear_displacement	linear_velocity	profile_displacement	profile_velocity	velocity_command_dx	velocity_command_dy	velocity_command_dtheta	steering_command_dx	steering_command_dy	steering_command_dtheta	cross_track_error	along_track_error	lookahead_point_x	lookahead_point_y	lookahead_point_velocity
250.901954	217.532639746	93.1863708496	2.8476792049	-0.1955825505	-6.32767075	-0.2892564893	-8.33196	-14.840546709	0	0.5845480184	-14.3935795407	0	0.5669426177	1.8728791478	-0.0936739389	231.733449688	93.038078616	-57.7017417023
250.912448	217.5987122273	93.1663846365	2.8480282787	-0.2646116859	-6.32767075	-0.3832995197	-9.59124	-16.250119149	0	0.6450395757	-14.3319047822	0	0.5688971074	1.8770128337	-0.1186878338	231.7375418282	93.0374940245	-57.7103377229
250.918186	217.6317589106	93.1564261323	2.8497736146	-0.2991262536	-5.1771851591	-0.4403095335	-10.2798	-17.0879615943	0	0.6772163548	-14.2998312497	0	0.5667194147	1.8799909855	-0.1411832799	231.7404900481	93.0370728503	-57.716530011
250.928888	217.6703386237	93.1448920197	2.8523916019	-0.3393932493	-5.1771851591	-0.5571959213	-11.56404	-18.7810532828	0	0.7413711928	-14.262323618	0	0.5629969583	1.8841715	-0.217802672	231.7446285464	93.0364816362	-57.7252211777
250.93626	217.7916867676	93.1089700988	2.855184126	-0.4659466643	-6.9029135455	-0.6457068073	-12.44868	-19.4586986254	0	0.7677253396	-14.2165565198	0	0.5609013682	1.901484033	-0.1797601429	231.8223642981	93.0253765288	-57.8882298243
250.956089	217.9738958868	93.0557229428	2.8593729122	-0.6557767868	-10.3543703182	-0.9161430374	-14.82816	-22.2199245124	0	0.8670268079	-14.2439255962	0	0.5558014086	1.9284277674	-0.2603662506	232.0350567729	92.9949918896	-58.3319088912
250.971748	218.1452313513	93.0062856983	2.8619908994	-0.8341020534	-10.9296131137	-1.1630494517	-16.70724	-24.4681415247	0	0.9373182458	-14.3893037488	0	0.5512211434	1.9531376488	-0.3289473983	232.3529411534	92.9495798352	-58.9887989935
250.980328	218.272484713	92.9700726396	2.8667032964	-0.9664078964	-12.0800987046	-1.3108145549	-17.73684	-25.5727087644	0	0.9500225618	-14.5603062511	0	0.5409133453	1.970990405	-0.3444066586	232.6557910657	92.906315562	-59.6078880097
250.994797	218.4995628849	92.9063507402	2.8693212836	-1.2022574425	-13.805827091	-1.5800100106	-19.47312	-27.4760933151	0	0.9907443323	-14.8316783348	0	0.5348067893	2.001958164	-0.3777525681	233.1549429617	92.8350081483	-60
251.011536	218.7933673019	92.8249267825	2.8731610126	-1.5071361241	-17.2572838637	-1.9227822135	-21.4818	-29.6455941114	0	1.0319966139	-15.1332694556	0	0.5268062018	2.0410135505	-0.4156460894	233.7520596444	92.7497057651	-60
251.020661	219.0208576571	92.7626924629	2.8759535368	-1.7429856702	-18.4077694546	-2.123799576	-22.5768	-30.5654277292	0	1.038634394	-15.3418896218	0	0.5213280302	2.0704503892	-0.3808139058	234.1894128521	92.6872267354	-60
251.037699	219.3208755768	92.6821906482	2.8829348638	-2.0536167798	-18.4077694546	-2.525880701	-24.62136	-33.1083703996	0	1.0783958473	-15.5881328514	0	0.5077319582	2.1077141788	-0.4722639213	234.7419329404	92.6082952942	-60
251.045727	219.5323078398	92.6267027114	2.8869491131	-2.2722090421	-19.5582550455	-2.7274079062	-25.58472	-33.9827722322	0	1.078917738	-15.7494885427	0	0.5000299104	2.1327433963	-0.4551988641	235.1180646658	92.5545621906	-60
251.049473	219.660347236	92.5933748087	2.8869491131	-2.404514885	-20.133497841	-2.8240902182	-26.03424	-34.2517072737	0	1.0813252883	-15.846178309	0	0.5002633355	2.1476288316	-0.4195753332	235.3416438035	92.5226223138	-60
251.053851	219.6993254608	92.5832689475	2.8888689859	-2.4447818807	-21.2839834319	-2.939218134	-26.5596	-35.1389343016	0	1.0991619634	-15.8724986912	0	0.4964990308	2.1521207704	-0.4944362533	235.4091372837	92.512980388	-60
251.057773	219.8330313633	92.5488769141	2.8907888421	-2.5828401516	-21.2839834319	-3.0443078102	-27.03024	-35.4541984245	0	1.0945138876	-15.9668891631	0	0.4929171356	2.1672582764	-0.4614676586	235.638618527	92.4801973533	-60
251.063224	219.9221906135	92.5260344643	2.8907888421	-2.6748789989	-22.4344690228	-3.1934324525	-27.68436	-36.3839048869	0	1.1192109859	-16.0300171341	0	0.4931018629	2.1772621259	-0.5185534537	235.7901533937	92.4585495152	-60
251.070765	220.1564153306	92.4667882468	2.8968974845	-2.916480973	-24.1601974092	-3.4056122122	-28.58928	-37.1254083029	0	1.1043633474	-16.1820867358	0	0.4813658433	2.2027885118	-0.4891312392	236.1825915843	92.4024869165	-60
251.081327	220.3797211834	92.411298093	2.8991664145	-3.1465780912	-24.7354402047	-3.7142655382	-29.85672	-38.7996531636	0	1.1343528785	-16.3247597561	0	0.4772732927	2.2261407448	-0.567687447	236.5498631724	92.3500195468	-60
251.094651	220.6760190066	92.33947924	2.9084166715	-3.4514567727	-25.8859257956	-4.122728214	-31.4556	-40.9256893436	0	1.139456723	-16.49634669	0	0.459292768	2.255334942	-0.6712714413	237.0276497888	92.2817643159	-60
251.105289	221.0008110972	92.2631504147	2.9131290518	-3.7850975941	-27.0364113865	-4.4641429094	-32.73216	-42.2438569127	0	1.140485779	-16.6800864013	0	0.4503234961	2.284964086	-0.6790453153	237.5402235284	92.2085394959	-60
251.113951	221.2586199449	92.2035357559	2.9155725188	-4.04970928	-28.1868969774	-4.752170694	-33.7716	-43.3983390357	0	1.1501273655	-16.820968846	0	0.4457833413	2.3075199104	-0.702461414	237.9405731457	92.1513466935	-60
251.120802	221.5894802486	92.1279105531	2.918190506	-4.3891025293	-29.9126253638	-4.9863560977	-34.59372	-43.6764703932	0	1.1333307908	-16.9952220229	0	0.4409973664	2.3355943287	-0.5972535683	238.447248603	92.0789644853	-60
251.12781	221.7578605799	92.0901033434	2.9232519602	-4.561675368	-31.6383537501	-5.2317356113	-35.43468	-44.8639092738	0	1.1325552356	-17.0760531545	0	0.4310719622	2.3492089821	-0.6700602433	238.701940352	92.0425799497	-60
251.137038	222.1062508864	92.0137915693	2.9286624882	-4.9183259012	-32.7888393411	-5.5638361973	-36.54204	-45.8478357295	0	1.1182051631	-17.2427126183	0	0.4205409038	2.3754839545	-0.6455102962	239.2221229795	91.9682681458	-60
251.149763	222.4719263049	91.9357646323	2.9340729995	-5.2922337182	-35.0898105229	-6.0385491938	-38.06904	-47.8636671091	0	1.1269701182	-17.4095129116	0	0.4099142838	2.4010123676	-0.7463154756	239.7597500616	91.8914642769	-60
251.159054	222.8436507234	91.8585473632	2.9394835275	-5.6718939632	-36.2402961138	-6.3974280053	-39.18396	-48.8741708579	0	1.1103068723	-17.571117036	0	0.39917469	2.4248837927	-0.7255340421	240.2982865011	91.8145304998	-60
251.17473	223.4358623147	91.739781799	2.9478611	-6.2758988984	-38.5412672956	-7.0264199809	-41.06508	-50.8721819907	0	1.0917799533	-17.8137045942	0	0.3823041358	2.4587043364	-0.7505210824	241.1412231985	91.6941109716	-60
251.184417	224.0629548293	91.6195335186	2.9564132259	-6.9144184014	-39.6917528865	-7.429847689	-42.22752	-50.8595518935	0	1.0275983348	-18.0527620232	0	0.3647493441	2.4890597868	-0.5154292876	242.015738487	91.5691802161	-60
251.187573	224.1929986696	91.5951729836	2.9564132259	-7.0467242443	-40.266995682	-7.5637153622	-42.60624	-51.242199538	0	1.032144721	-18.1022761069	0	0.3646246432	2.4947845098	-0.5169911179	242.1950873877	91.5435589446	-60
251.191089	224.2778098698	91.5792856782	2.9564132259	-7.1330106637	-40.8422384775	-7.7142606374	-43.02816	-51.9824086717	0	1.0449813099	-18.13433826	0	0.3645472581	2.4985180249	-0.5812499738	242.3118237727	91.5268823182	-60
251.195348	224.515346876	91.5351535839	2.959380287	-7.3746126378	-41.4174812729	-7.8986059157	-43.53924	-52.2059888875	0	1.026894909	-18.2194969117	0	0.3583785888	2.5086137637	-0.523993278	242.6374163512	91.4803690927	-60
251.19866	224.6285215916	91.5144740048	2.9623473314	-7.4896611969	-41.4174812729	-8.0434660393	-43.93668	-52.7604905357	0	1.0181004532	-18.2575136776	0	0.3523087591	2.5130801808	-0.5538048424	242.7916720079	91.4583325703	-60
251.205082	224.792713175	91.4849756495	2.9653143925	-7.6564816075	-41.9927240684	-8.3281019233	-44.70732	-54.1242452407	0	1.0230200305	-18.313026002	0	0.3461404835	2.5190618662	-0.6716203157	243.0143596166	91.4265200548	-60
251.213229	225.178017732	91.4175213281	2.9712485146	-8.0476467084	-43.1432096593	-8.6963148758	-45.68496	-54.9838261282	0	0.9947203994	-18.4400698449	0	0.3336019869	2.5313479446	-0.6486681674	243.5325828802	91.35248816	-60
251.223032	225.6714843585	91.3341462817	2.9771826367	-8.5481079405	-44.2936952502	-9.1499304673	-46.86132	-55.9266524032	0	0.9644030584	-18.5966521952	0	0.3206819554	2.54409831	-0.6018225268	244.1884013626	91.2587998053	-60
251.233904	226.1427332372	91.2574407436	2.9832912958	-9.0255594607	-46.0194236366	-9.6664987613	-48.16596	-57.4186635535	0	0.9415759919	-18.7382099987	0	0.3072772436	2.553388263	-0.6409393006	244.8071086009	91.170413057	-60
251.245373	226.6314915982	91.1809469245	2.9893999382	-9.5202682648	-48.3203948184	-10.2268064342	-49.54224	-59.1046871725	0	0.9193357989	-18.8778186881	0	0.2936324572	2.5599924102	-0.7065381694	245.441292894	91.0798153009	-60
251.259088	227.410996278	91.0650054629	2.9984756583	-10.3083508946	-49.4708804093	-10.9175643293	-51.18804	-60.2740204482	0	0.8615435476	-19.0867410635	0	0.2728216649	2.5645299924	-0.6092134347	246.4381704555	90.9374042206	-60
251.267291	227.9407258961	90.9902739554	3.0044097721	-10.8433266944	-51.1966087957	-11.341497174	-52.1724	-60.6884608997	0	0.8174834521	-19.219600373	0	0.2588911471	2.5635953293	-0.4981704796	247.1061230899	90.8419824157	-60
251.276481	228.2029080122	90.9544993172	3.00755137	-11.1079383803	-52.3470943866	-11.826028896	-53.2752	-62.8901053458	0	0.8203027374	-19.2825257032	0	0.2515102897	2.5619322639	-0.7180905157	247.4339902086	90.7951442559	-60
251.287999	228.7618094244	90.8808193108	3.0134854838	-11.6716763198	-54.072822773	-12.447612509	-54.65736	-64.5548904626	0	0.7886216616	-19.4117145907	0	0.2371392548	2.5558311533	-0.7759361892	248.1271910653	90.6961155621	-60
251.305867	229.8466176011	90.7476216151	3.0253537281	-12.7646376312	-55.2233083639	-13.443386143	-56.80152	-66.2333493999	0	0.7011306033	-19.6418081834	0	0.2079235453	2.534275101	-0.6787485118	249.4515856855	90.5069163306	-60
